SAMPLE,A-to-G proportion (%)
GSM4050352,53.4920634920635
GSM4050270,49.1085899513776
GSM3735417,69.4117647058824
GSM4050435,58.2746478873239
GSM4050207,51.1961722488038
GSM4050221,39.5604395604396
GSM4050253,41.2811387900356
GSM4050301,44.5054945054945
GSM4050345,43.520782396088
GSM4050220,48.4848484848485
GSM3735310,62.5
GSM3735312,70.5128205128205
GSM3735420,64.3410852713178
GSM4050189,45.021645021645
GSM4050477,58.0939947780679
GSM3735363,71.7647058823529
GSM3735371,72.7272727272727
GSM3735361,71.1711711711712
GSM4050485,65.1813471502591
GSM3735342,70.2127659574468
GSM3735398,77.5700934579439
GSM3735314,70.7317073170732
GSM3735350,69.4915254237288
GSM3735359,66.1538461538462
GSM4050331,54.950495049505
GSM4050289,49.9469777306469
GSM4050300,51.6666666666667
GSM4050363,48.3271375464684
GSM4050312,57.0900123304562
GSM4050250,49.2957746478873
GSM4050390,63.7176938369781
GSM4050418,50.1030927835052
GSM4050317,61.3314447592068
GSM4050470,58.8531187122737
GSM4050346,54.3969849246231
GSM4050463,57.4139976275208
GSM4050516,58.4821428571429
GSM4050670,56.1611374407583
GSM4050499,57.2948328267477
GSM4050429,66.9376693766938
GSM4050358,65.5241935483871
GSM4050263,59.9033816425121
GSM4050211,40.2439024390244
GSM4050397,63.302752293578
GSM4050197,43.984962406015
GSM4050299,43.4262948207171
GSM4050674,56.7484662576687
GSM4050231,42.7325581395349
GSM3735343,43.3628318584071
GSM4050506,40.9756097560976
GSM4050203,47.6470588235294
GSM4050217,39.3939393939394
GSM3735356,80.1047120418848
GSM3735339,84.2857142857143
GSM3735315,70.1923076923077
GSM4050230,42.8571428571429
GSM4050225,47.4820143884892
GSM3735415,69.0909090909091
GSM4050333,52.2309711286089
GSM4050233,47.5728155339806
GSM3735358,70.8955223880597
GSM3735424,63.5593220338983
GSM3735426,53.8461538461539
GSM3735427,62.3188405797102
GSM3735351,63.6363636363636
GSM3735399,74.1935483870968
GSM3735340,60
GSM3735396,80.4878048780488
GSM4050219,42.3728813559322
GSM4050267,53.90625
GSM3735354,68.6746987951807
GSM3735334,69.5652173913044
GSM3735438,57.8947368421053
GSM3735414,62.2222222222222
GSM3735367,57.7464788732394
GSM3735423,65.5172413793104
GSM3735425,53.4883720930233
GSM3735429,62.8571428571429
GSM3735337,65.702479338843
GSM3735421,70.7602339181287
GSM3735353,76.9736842105263
GSM3735370,66.9354838709678
GSM3735374,78.9473684210526
GSM3735328,65.5555555555556
GSM3735311,71.1229946524064
GSM4050205,36.8421052631579
GSM3735341,66.0714285714286
GSM3735435,71.304347826087
GSM3735419,53.125
GSM3735330,76.9230769230769
GSM3735365,73.0337078651685
GSM3735332,73.6842105263158
GSM3735376,70.3125
GSM3735313,50
GSM3735362,64.7540983606558
GSM3735418,65.4545454545455
GSM3735372,76.7123287671233
GSM3735336,62.8571428571429
