gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE133854,GSM3928370,2-cell,TRUE,,,24~35 with mean 28,,,1,300,2341360722,6022656300,20075521
GSE133854,GSM3928371,2-cell,TRUE,,,24~35 with mean 28,,,1,300,2335660380,6106869600,20356232
GSE133854,GSM3928372,4-cell,TRUE,,,24~35 with mean 28,,,1,180,5873620601,7684313760,42690632
GSE133854,GSM3928373,4-cell,TRUE,,,24~35 with mean 28,,,1,180,4255151429,6095753100,33865295
GSE133854,GSM3928374,4-cell,TRUE,,,24~35 with mean 28,,,1,180,5640210617,7709368140,42829823
GSE133854,GSM3928375,4-cell,TRUE,,,24~35 with mean 28,,,1,180,6599411405,8430885720,46838254
GSE133854,GSM3928376,4-cell,TRUE,,,24~35 with mean 28,,,1,180,6600879984,8462484360,47013802
GSE133854,GSM3928377,4-cell,TRUE,,,24~35 with mean 28,,,1,180,4954870473,6203170980,34462061
GSE133854,GSM3928378,4-cell,TRUE,,,24~35 with mean 28,,,1,180,6534029090,8225323560,45696242
GSE133854,GSM3928379,4-cell,TRUE,,,24~35 with mean 28,,,1,180,5677106411,7332062220,40733679
GSE133854,GSM3928380,4-cell,TRUE,,,24~35 with mean 28,,,1,180,4103639726,5414947020,30083039
GSE133854,GSM3928381,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2382585907,6103244100,20344147
GSE133854,GSM3928382,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2431913106,6191894100,20639647
GSE133854,GSM3928383,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2380269386,6035882400,20119608
GSE133854,GSM3928384,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2387122709,5995988700,19986629
GSE133854,GSM3928385,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2456454319,6035891700,20119639
GSE133854,GSM3928386,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2379566815,6027355800,20091186
GSE133854,GSM3928387,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2098044231,5485710000,18285700
GSE133854,GSM3928388,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2321251707,6153560400,20511868
GSE133854,GSM3928389,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2309622369,6037020600,20123402
GSE133854,GSM3928390,4-cell,TRUE,,,24~35 with mean 28,,,1,300,1534162742,4042087500,13473625
GSE133854,GSM3928391,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2256216671,5945274000,19817580
GSE133854,GSM3928392,4-cell,TRUE,,,24~35 with mean 28,,,1,300,2291656771,5996139900,19987133
GSE133854,GSM3928393,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6037509297,7951286700,44173815
GSE133854,GSM3928394,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6435300551,8410412160,46724512
GSE133854,GSM3928395,8-cell,TRUE,,,24~35 with mean 28,,,1,180,6335306248,8598677580,47770431
GSE133854,GSM3928396,8-cell,TRUE,,,24~35 with mean 28,,,1,180,4972357099,6440379840,35779888
GSE133854,GSM3928397,8-cell,TRUE,,,24~35 with mean 28,,,1,180,4865538013,6545561940,36364233
