gse,gsm,srr,srr.avgspotlen,srr.bytes,srr.bases,srr.avgreadcount,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line
GSE133854,GSM3928577,SRR9645898,300,2270581526,5229194700,17430649,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928578,SRR9645899,300,2471792344,6083399400,20277998,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928579,SRR9645900,300,2570272028,6172295400,20574318,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928580,SRR9645901,180,5718913359,7374547980,40969711,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928581,SRR9645902,180,5089944864,6688016280,37155646,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928582,SRR9645903,180,6280530294,8127386280,45152146,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928583,SRR9645904,180,6642443228,8554682520,47526014,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928584,SRR9645905,300,2417904422,6078040800,20260136,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928585,SRR9645906,300,2299811459,5769036000,19230120,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928586,SRR9645907,300,2447594796,6131088600,20436962,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928587,SRR9645908,300,2538099398,6167705700,20559019,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928588,SRR9645909,300,2422475304,6061270500,20204235,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928589,SRR9645910,300,2424749518,6080623800,20268746,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928590,SRR9645911,300,2407071314,6090333300,20301111,4-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928591,SRR9645912,180,5250281028,6676766280,37093146,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928592,SRR9645913,180,6575307589,8442458460,46902547,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928593,SRR9645914,180,5201973664,6579098460,36550547,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928594,SRR9645915,180,6487678891,8493979860,47188777,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928595,SRR9645916,180,5498070516,7313518620,40630659,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928596,SRR9645917,180,5548212863,7096935600,39427420,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928597,SRR9645918,180,5949037958,7781921100,43232895,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928598,SRR9645919,300,2126508873,5333059800,17776866,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928599,SRR9645920,300,2419906689,6077162100,20257207,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928600,SRR9645921,300,2471077170,6005943300,20019811,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928601,SRR9645922,300,2601036307,6188324100,20627747,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928602,SRR9645923,300,2477151253,6063026400,20210088,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928603,SRR9645924,300,2436568474,6058824300,20196081,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928604,SRR9645925,300,2096790210,5158983000,17196610,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928605,SRR9645926,300,2475807609,6111357000,20371190,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928606,SRR9645927,300,2455096549,6038326800,20127756,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928607,SRR9645928,300,2099504409,5036089500,16786965,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928608,SRR9645929,300,2510804691,6031040400,20103468,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928609,SRR9645930,300,2482163038,6056808600,20189362,8-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
