,dataset,name,count.5.prime.UTR,count.3.prime.UTR,count.CDS,count.intron
1532,201217-GSE44183-earlyhumanlong21-90-90,GSM1160129,3214,85781,2134,291600
1533,201217-GSE44183-earlyhumanlong21-90-90,GSM1160138,5442,122255,4499,554255
1534,201217-GSE44183-earlyhumanlong21-90-90,GSM1160139,1937,85332,2743,262606
1535,201217-GSE44183-earlyhumanlong21-90-90,GSM1160140,1892,90087,3064,160112
1536,201101-GSE72379-full16-101-101,GSM1861606,15837,318591,9287,1592027
1537,201101-GSE72379-full16-101-101,GSM1861607,17038,316366,9524,1593623
1538,201101-GSE72379-full16-101-101,GSM1861608,13267,273906,7210,1609411
1539,201101-GSE72379-full16-101-101,GSM1861609,13622,279543,7251,1740226
1540,201101-GSE72379-full16-101-101,GSM1861610,14882,278616,8092,1065247
1541,201101-GSE72379-full16-101-101,GSM1861611,13509,260571,7834,874981
1542,201101-GSE72379-full16-101-101,GSM1861612,17558,317181,9148,1622184
1543,201101-GSE72379-full16-101-101,GSM1861613,15361,297765,8494,1268752
1544,201101-GSE72379-full16-101-101,GSM1861614,22537,318507,9240,4218276
1545,201101-GSE72379-full16-101-101,GSM1861615,22832,315287,9379,4018609
1546,201101-GSE72379-full16-101-101,GSM1861616,23355,359178,9967,5143707
1547,201101-GSE72379-full16-101-101,GSM1861617,22872,361183,10251,5212113
1548,201101-GSE72379-full16-101-101,GSM1861618,19384,309470,8664,4793133
1549,201101-GSE72379-full16-101-101,GSM1861619,21876,331686,9203,5600905
1550,201101-GSE72379-full16-101-101,GSM1861620,23226,361078,10365,5085850
